OS,machine_cpu,machine_ram,Graph_name,Graph_type,Graph_size(MB),Graph_nodes(vertices),Graph_edges,Algorithm,exec_time(s),peak_memory,mean_memory,cpu_usage,Disk_read,Disk_write
ubuntu,4,16,web-Google.txt,web,72M,875713,5105039,transform_txt_bin,,,,,,
ubuntu ,4,16,web-Google.txt.bin,web,39M,875713,5105039,PR10,0.143,154104,,176%,,
ubuntu ,4,16,web-Google.txt.bin,web,39M,875713,5105039,PR20,0.141,87344,,199%,,
ubuntu ,4,16,web-Google.txt.bin,web,39M,875713,5105039,PR50,0.165,102392,,247%,,
ubuntu ,4,16,web-Google.txt.bin,web,39M,875713,5105039,CC,0.144,94512,,84%,,
ubuntu,4,16,com-friendster.all.cmty.txt,ground-thruth community,202M,65608366,1806067135,transform_txt_bin,,,,,,
ubuntu ,4,16,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,PR10,0.691,817016,,119%,,
ubuntu ,4,16,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,PR20,0.903,817608,,117%,,
ubuntu ,4,16,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,PR50,1.518,827876,,119%,,
ubuntu ,4,16,com-friendster.all.cmty.txt.bin,ground-thruth community,13M,65608366,1806067135,CC,153.27,7103800,,93%,,
ubuntu,4,16,com-orkut.all.cmty.txt,ground-thruth community,796M,3072441,117185083,transform_txt_bin,,,,,,
ubuntu ,4,16,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,PR10,3.472,355464,,393%,,
ubuntu ,4,16,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,PR20,6.637,355728,,397%,,
ubuntu ,4,16,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,PR50,14.009,363468,,395%,,
ubuntu ,4,16,com-orkut.all.cmty.txt.bin,ground-thruth community,117M,3072441,117185083,CC,16.738,7210384,,106%,,
